,State,1,Crop,3,District,Year,Season,16,Area (ha),22,23,Production (t),27,29,Yield (t/ha)
784,,,,,,2010-11,Rabi,,581.0,,,850.0,,,1.4629948364888126
785,,,,,,2011-12,Rabi,,786.0,,,1206.0,,,1.5343511450381682
786,,,,,,2012-13,Rabi,,998.0,,,1606.0,,,1.6092184368737474
787,,,,,,2013-14,Rabi,,1015.0,,,1776.0,,,1.7497536945812808
788,,,,,FATEHPUR,,,,,,,,,,
789,,,,,,1998-99,Rabi,,2029.0,,,2220.0,,,1.094135041892558
790,,,,,,1999-00,Whole year,,2054.0,,,3518.0,,,1.7127555988315482
791,,,,,,2000-01,Rabi,,2062.0,,,2264.0,,,1.0979631425800194
792,,,,,,2001-02,Rabi,,1853.0,,,1929.0,,,1.0410145709660013
793,,,,,,2002-03,Rabi,,1757.0,,,1712.0,,,0.9743881616391576
794,,,,,,2003-04,Rabi,,1778.0,,,1923.0,,,1.0815523059617547
795,,,,,,2008-09,Rabi,,1561.0,,,1284.0,,,0.8225496476617553
796,,,,,,2009-10,Rabi,,1499.0,,,1228.0,,,0.819212808539026
797,,,,,,2010-11,Rabi,,1576.0,,,1424.0,,,0.9035532994923858
798,,,,,,2011-12,Rabi,,1673.0,,,1970.0,,,1.177525403466826
799,,,,,,2012-13,Rabi,,1463.0,,,1565.0,,,1.06971975393028
800,,,,,,2013-14,Rabi,,1396.0,,,1480.0,,,1.0601719197707735
801,,,,,FIROZABAD,,,,,,,,,,
802,,,,,,1998-99,Rabi,,3622.0,,,4955.0,,,1.3680287134180011
803,,,,,,1999-00,Whole year,,2224.0,,,4541.0,,,2.04181654676259
804,,,,,,2000-01,Rabi,,1569.0,,,2992.0,,,1.906947100063735
805,,,,,,2001-02,Rabi,,1780.0,,,2531.0,,,1.4219101123595506
806,,,,,,2002-03,Rabi,,1610.0,,,2682.0,,,1.66583850931677
807,,,,,,2003-04,Rabi,,1463.0,,,3052.0,,,2.0861244019138754
808,,,,,,2008-09,Rabi,,572.0,,,691.0,,,1.208041958041958
809,,,,,,2009-10,Rabi,,719.0,,,923.0,,,1.2837273991655076
810,,,,,,2010-11,Rabi,,587.0,,,1401.0,,,2.3867120954003407
811,,,,,,2011-12,Rabi,,254.0,,,420.0,,,1.6535433070866141
812,,,,,,2012-13,Rabi,,335.0,,,692.0,,,2.065671641791045
813,,,,,,2013-14,Rabi,,335.0,,,733.0,,,2.1880597014925374
814,,,,,G.BUDDHA NGR.,,,,,,,,,,
815,,,,,,1998-99,Rabi,,445.0,,,456.0,,,1.0247191011235954
816,,,,,,1999-00,Whole year,,433.0,,,783.0,,,1.8083140877598152
817,,,,,,2000-01,Rabi,,197.0,,,204.0,,,1.0355329949238579
818,,,,,,2001-02,Rabi,,189.0,,,229.0,,,1.2116402116402116
819,,,,,,2002-03,Rabi,,203.0,,,249.0,,,1.2266009852216748
820,,,,,,2003-04,Rabi,,99.0,,,136.0,,,1.373737373737374
821,,,,,,2008-09,Rabi,,74.0,,,90.0,,,1.2162162162162162
822,,,,,,2009-10,Rabi,,62.0,,,79.0,,,1.2741935483870968
823,,,,,,2010-11,Rabi,,19.0,,,22.0,,,1.1578947368421053
